month,day,year,date,prop_letter,ballot_subject,type_of_measure,description,pass_or_fail,vote_counts,percent_vote,percent_required_to_pass,measure_placed_on_ballot_by,pdf_available
November,6,1973,06-Nov-73,C,"Hall of Justice Improvement Bonds, $4,600,000",Bond Issue,"To incur a bonded indebtedness of $4,600,000 for additions to and alteration and reconstruction of a portion of the Hall of Justice Building to provide additional courtrooms and related rooms for the Superior and Municipal Courts.",F,"Yes: 94,574  /  No: 64,822",Yes: 52.71%  /  No: 47.29%,66 2/3%,Supervisors,November6_1973
November,6,1973,06-Nov-73,D,Runoff Election for Mayor,Charter Amendment,To provide for a runoff election for the office of Mayor if no candidate for said office receive a majority vote in the general municipal election.,P,"Yes: 92,801  /  No: 83,528",Yes: 52.62%  /  No: 47.38%,50%+1,Supervisors,November6_1973
November,6,1973,06-Nov-73,E,"Retirement Benefits, Miscellaneous Employees",Charter Amendment,To provide for an increase in certain retirement allowances of miscellaneous employees.,P,"Yes: 89,302  /  No: 87,994",Yes: 50.36%  /  No: 49.64%,50%+1,Supervisors,November6_1973
November,6,1973,06-Nov-73,F,City Park Land to Golden Gate National Recreation,Charter Amendment,To authorize the transfer of City real property to the federal government for inclusion in the Golden Gate National Recreation Area,P,"Yes: 131,265  /  No: 43,413",Yes: 75.14%  /  No: 24.86%,50%+1,Supervisors,November6_1973
November,6,1973,06-Nov-73,G,Residential Rehabilitation Assistance Funding for Loans,Charter Amendment,Authorizes the issuance of bonds to provide funding of a loan program to assist property owners to rehabilitate property in designated rehabilitation assistance areas.,P,"Yes: 103,070  /  No: 67,450",Yes: 60.44%  /  No: 39.56%,50%+1,Supervisors,November6_1973
November,6,1973,06-Nov-73,H,Fireboat Pilots and Engineers Retirement,Charter Amendment,To include certain pilots and marine engineers of fireboats as members of the Fire Department for retirement purposes.,P,"Yes: 110,348  /  No: 61,150",Yes: 64.34%  /  No: 35.66%,50%+1,Supervisors,November6_1973
November,6,1973,06-Nov-73,I,Civil Service Testing,Charter Amendment,"Relating to Civil Service procedures involving qualifications of applicants, protests of test items and eligibility lists, duration of eligibility lists, temporary and emergency appointments and dismissal during probationary period.",P,"Yes: 100,754  /  No: 62,044",Yes: 61.88%  /  No: 38.12%,50%+1,Supervisors,November6_1973
November,6,1973,06-Nov-73,J,"Classroom Aides, Para-Professionals, Civil Service",Charter Amendment,"To exempt with certain exceptions, paraprofessional employees of school districts from the Civil Service provisions of the Charter.",P,"Yes: 93,020  /  No: 69,319",Yes: 57.29%  /  No: 42.71%,50%+1,Supervisors,November6_1973
November,6,1973,06-Nov-73,K,District Elections of Supervisors,Charter Amendment,Establishes eleven Supervisorial Districts within the City and provides for the election of Supervisors therefrom. Prescribes qualifications of candidates and terms of office.,F,"Yes: 61,773  /  No: 112,436",Yes: 35.45%  /  No: 64.55%,50%+1,Initiative,November6_1973
November,6,1973,06-Nov-73,L,Thirty hours work for 40 hours pay,Charter Amendment,"To provide for a 30 hour work week at 40 hours pay for City employees, employees of public works contractors, and employees of certain businesses subject to local licensing laws. To establish an enforcement commission and to provide funding for any increase in expenses hereunder.",F,"Yes: 33,429  /  No: 145,146",Yes: 18.71%  /  No: 81.29%,50%+1,Initiative,November6_1973
November,6,1973,06-Nov-73,M,Childcare,Policy Declaration,"It shall be the policy of the people of the City that low cost, quality child care be made available to all San Francisco children. Child care shall include infant care, pre-school and after school programs. Policy shall be made by the parents and faculties at each center. Funding shall be procured by the City.",P,"Yes: 96,454  /  No: 79,883",Yes: 54.46%  /  No: 45.54%,50%+1,Initiative,November6_1973
June,4,1974,04-Jun-74,A,Bay Area Rapid Transit (BART) Board of Directors to be Elected,Ordinance,Shall the members of the Board of Directors of the San Francisco Bay Area Rapid Transit (BART) District be elected?,P,"Yes: 94,020  /  No: 58,641",Yes: 61.58%  /  No: 38.42%,50%+1,Initiative,June4_1974short
June,4,1974,04-Jun-74,B,"Conflict of Interest, City and County of San Francisco Officers and Employees",Charter Amendment,Conflict of interest and other prohibited practices of officers and employees of City and County of San Francisco.,P,"Yes: 103,076  /  No: 40,510",Yes: 71.78%  /  No: 28.22%,50%+1,Supervisors,June4_1974short
June,4,1974,04-Jun-74,C,"Open Space, $.10 (cents) per $100 of assessed valuation",Charter Amendment,"Shall a tax of $.10 (cents) per $100 of assessed valuation be imposed for 15 years to fund acquisition, development and maintenance of public open space?",F,"Yes: 73,971  /  No: 78,055",Yes: 48.65%  /  No: 51.35%,50%+1,Supervisors,June4_1974short
June,4,1974,04-Jun-74,D,"City and County offices, open Election Day",Charter Amendment,Shall public offices of City and County remain open for business on state-wide election days?,P,"Yes: 109,252  /  No: 43,171",Yes: 71.67%  /  No: 28.33%,50%+1,Supervisors,June4_1974short
June,4,1974,04-Jun-74,E,Retirement for those retired prior to 1972,Charter Amendment,Shall the retirement allowance of certain retired miscellaneous employees be increased by recomputing their allowances in accordance with formula now authorized for present employees?,P,"Yes: 96,714  /  No: 54,116",Yes: 64.12%  /  No: 35.88%,50%+1,Supervisors,June4_1974short
June,4,1974,04-Jun-74,F,Firefighter list E-25,Charter Amendment,Shall applicants who are eligible for appointment to entrance positions in Fire Department from current eligibility list retain such eligibility beyond maximum age for such appointment?,P,"Yes: 110,369  /  No: 36,822",Yes: 74.98%  /  No: 25.02%,50%+1,Supervisors,June4_1974short
June,4,1974,04-Jun-74,G,"Fire Department, reorganization, Commission Powers",Charter Amendment,Shall the  Fire Commission be empowered to reorganize Fire Department; makes position of Commission Secretary a civil service position; delete and add certain ranks to Fire Department?,P,"Yes: 95,536  /  No: 46,552",Yes: 67.23%  /  No: 32.77%,50%+1,Supervisors,June4_1974short
June,4,1974,04-Jun-74,H,"Appoint Clerk of Board, E.R.D., County Clerk",Charter Amendment,"Shall positions of Clerk of Board of Supervisors, Director of Employee Relations and County Clerk be filled by appointment rather than by civil service examination?",,"Yes: 68,897  /  No: 76,282",Yes: 47.45%  /  No: 52.55%,50%+1,Supervisors,June4_1974short
June,4,1974,04-Jun-74,I,Motor Vehicle Fuel Revenues for Mass Transit,Policy Declaration,"Shall motor vehicle fuel revenues be permitted for use in City and County for public mass transit purposes as described in proposed section 1 (b) of Proposition 5 if said proposition is approved by voters on June 5, 1974?",P,"Yes: 108,073  /  No: 40,020",Yes: 72.97%  /  No: 27.03%,50%+1,Supervisors,June4_1974short
June,4,1974,04-Jun-74,J,"Street Artists, Issued Police Peddler Permit",Ordinance,Street Artists. Provides for issuance of a police permit to peddle self made articles on a public sidewalk upon payment of $20.00 annual fee and affidavit to the Tax Collector.,P,"Yes: 81,099  /  No: 70,599",Yes: 53.46%  /  No: 46.54%,50%+1,Initiative,June4_1974short
November,5,1974,05-Nov-74,A,"Fire Protection Bonds $4,000,000",Bond Issue,"To incur a bonded indebtedness in the sum of $4,000,000 for additions to and improvements of the fire protection systems in the City and County of San Francisco.",P,"Yes: 139,987  /  No: 44,169",Yes: 76.01%  /  No: 23.99%,50%+1,Supervisors,November5_1974
November,5,1974,05-Nov-74,B,"Zoning Appeals, Conflict of Interest",Charter Amendment,"In the event one or more supervisors are precluded from voting on a zoning appeal because of a conflict of interest, shall the vote necessary to grant such appeal be reduced to two-thirds of the supervisors not precluded from voting?",P,"Yes: 105,177  /  No: 71,163",Yes: 59.64%  /  No: 40.36%,50%+1,Supervisors,November5_1974
November,5,1974,05-Nov-74,C,"Voters Pamphlet, Ballot Arguments, Simplification",Charter Amendment,"Shall the Board of Supervisors be empowered to provide by ordinance for the format of the voters pamphlet and for the submission, review, selection and inclusion of arguments in said pamphlet?",P,"Yes: 124,674  /  No: 50,525",Yes: 71.16%  /  No: 28.84%,50%+1,Supervisors,November5_1974
November,5,1974,05-Nov-74,D,"Supplemental Appropriation, 2/3 (two thirds) vote",Charter Amendment,Shall any supplemental appropriation ordinance containing an item which had been deleted from the budget require a two-thirds vote for approval?,P,"Yes: 117,399  /  No: 54,606",Yes: 68.25%  /  No: 31.75%,50%+1,Supervisors,November5_1974
November,5,1974,05-Nov-74,E,Appoint Clerk of Board; not Civil Service Examination,Charter Amendment,Shall the position of Clerk of the Board of Supervisors be filled by appointment rather than by civil service examination?,F,"Yes: 81,891  /  No: 96,047",Yes: 46.02%  /  No: 53.98%,50%+1,Supervisors,November5_1974
November,5,1974,05-Nov-74,F,"County Clerk appointive, not by civil service examination",Charter Amendment,Shall the position of County Clerk be filled by appointment rather than by civil service examination?,F,"Yes: 84,485  /  No: 93,062",Yes: 47.58%  /  No: 52.42%,50%+1,Supervisors,November5_1974
November,5,1974,05-Nov-74,G,"Fire Department, widows pensions; married after fireman's",Charter Amendment,"Shall the widow of any fireman who was a member of the Fire Department on January 8, 1932, be entitled to a pension if she married said fireman after his retirement but at least one year prior to his death?",P,"Yes: 122,333  /  No: 61,027",Yes: 66.71%  /  No: 33.29%,50%+1,Supervisors,November5_1974
November,5,1974,05-Nov-74,H,Police and Fire Retirement Allowance,Charter Amendment,Shall the Charter be amended relating to retirement and death allowances payable to or on account of members of the Police and Fire Department?,P,"Yes: 97,084  /  No: 81,230",Yes: 54.44%  /  No: 45.56%,50%+1,Supervisors,November5_1974
November,5,1974,05-Nov-74,I,"Employee Relations Director, Chief Administrative Officer Appoints",Charter Amendment,Shall the position of Employee Relations Director be filled by appointment rather than by civil service examination?,P,"Yes: 89,155  /  No: 85,014",Yes: 51.18%  /  No: 48.82%,50%+1,Supervisors,November5_1974
November,5,1974,05-Nov-74,J,Open Space Park Renovation $.10 (cents) per $100 tax,Charter Amendment,"Shall existing parks and recreation facilities be renovated and new parks and recreation facilities be acquired, developed and maintained by creating an open space acquisition and park renovation fund?",P,"Yes: 116,653  /  No: 64,408",Yes: 64.42%  /  No: 35.58%,50%+1,Supervisors,November5_1974
November,5,1974,05-Nov-74,K,Golden Gate Park structures; 2/3 (two thirds) vote,Charter Amendment,"Shall the Recreation and Park Commission be required to obtain a two-thirds vote of approval by the Board of Supervisors before erecting, enlarging or expanding any structure, other than one necessary for maintenance, in Golden Gate Park?",P,"Yes: 106,068  /  No: 72,182",Yes: 59.50%  /  No: 40.50%,50%+1,Supervisors,November5_1974
November,5,1974,05-Nov-74,L,Salary Standardization,Charter Amendment,Shall the Charter be amended relating to compensation of officers and employees of the City and County of San Francisco and relating to rates of pay for members of trades or crafts and relating to salaries and benefits of Municipal Railway platform employees?,F,"Yes: 90,520  /  No: 102,228",Yes: 46.96%  /  No: 53.04%,50%+1,Supervisors,November5_1974
November,5,1974,05-Nov-74,M,Fire and Police Retirement benefits,Charter Amendment,Shall the Charter be amended relating to retirement and death benefits of members of the Police and Fire Department?,P,"Yes: 90,569  /  No: 87,347",Yes: 50.90%  /  No: 49.10%,50%+1,Supervisors,November5_1974
November,5,1974,05-Nov-74,N,"School Food Complex at Double Rock site, Tax",Policy Declaration,"Shall the governing board of the San Francisco Unified School District plan for and lease a building as a ""Centralized Nutrition Complex for Food Processing and Student Training""; shall the maximum tax rate of the district be increased not to exceed 5 (five) cents to be in effect for years 1975-1995 to be used solely and exclusively for the complex?",P,"Yes: 107,014  /  No: 68,695",Yes: 60.90%  /  No: 39.10%,50%+1,Supervisors,November5_1974
November,4,1975,04-Nov-75,A,Sewage Treatment Plant South of the Zoo,Charter Amendment,Shall the Recreation and Park Commission be empowered to permit construction of water quality and sewerage facilities on San Francisco Zoo property?,P,"Yes: 146,836  /  No: 43,363",Yes: 77.20%  /  No: 22.80%,50%+1,Supervisors,November4_1975short
November,4,1975,04-Nov-75,B,"Rate of Pay, Trades and Crafts",Charter Amendment,"Shall section 8.403, which requires the City and County to pay its craft employees the same rate of pay as that paid to comparable employees in private industry within San Francisco, be repealed?",P,"Yes: 131,407  /  No: 63,640",Yes: 67.37%  /  No: 32.63%,50%+1,Supervisors,November4_1975short
November,4,1975,04-Nov-75,C,Budget Schedule and Appropriation Transfers,Charter Amendment,Shall the Board of Supervisors be empowered to modify the time for action in the budgetary process and shall department heads be empowered to use funds appropriated for one purpose for another purpose?,P,"Yes: 124,178  /  No: 60,149",Yes: 67.36%  /  No: 32.64%,50%+1,Supervisors,November4_1975short
November,4,1975,04-Nov-75,D,"Police, Fire, Civil Service Commissions, five (5) members, one (1) woman",Charter Amendment,"Shall the number of members of the Civil Service, Fire and Police Commissions, respectively, be increased to five with a proviso that at least one member of each such commission be a woman?",P,"Yes: 96,136  /  No: 91,630",Yes: 51.19%  /  No: 48.81%,50%+1,Supervisors,November4_1975short
November,4,1975,04-Nov-75,E,Airport Police; Reclassify as San Francisco Police Officers,Charter Amendment,"Shall the San Francisco Police Department assume responsibility for police functions at the San Francisco International Airport with the Airport Police, subject to certain conditions, being reclassified as San Francisco police officers?",F,"Yes: 44,549  /  No: 143,752",Yes: 23.65%  /  No: 76.35%,50%+1,Supervisors,November4_1975short
November,4,1975,04-Nov-75,F,"Boards and Commissions, Votes and Rules",Charter Amendment,"Shall each member of a board or commission be required to vote on all questions, and shall any rule or regulation of a board or commission, with certain exceptions, be adopted only after a noticed public hearing thereon?",P,"Yes: 159,477  /  No: 23,436",Yes: 87.18%  /  No: 12.82%,50%+1,Supervisors,November4_1975short
November,4,1975,04-Nov-75,G,"Airport Police Probation, one (1) year",Charter Amendment,Shall the probationary period for persons hired as Airport Policemen be increased from six months to one year?,P,"Yes: 93,198  /  No: 90,264",Yes: 50.79%  /  No: 49.21%,50%+1,Supervisors,November4_1975short
November,4,1975,04-Nov-75,H,Conflict of Interest,Charter Amendment,"Shall officers and employees be permitted to have an interest in certain transactions which are now prohibited, and shall the Board of Supervisors prescribe special conflict of interest regulations for certain designated officers?",P,"Yes: 90,953  /  No: 88,595",Yes: 50.65%  /  No: 49.35%,50%+1,Supervisors,November4_1975short
November,4,1975,04-Nov-75,I,"Veteran's Preference, Peacetime Service",Charter Amendment,Shall preference in civil service examinations be allowed to persons who served in the armed forces in time of peace as well as in time of war?,F,"Yes: 68,921  /  No: 117,058",Yes: 37.05%  /  No: 62.95%,50%+1,Supervisors,November4_1975short
November,4,1975,04-Nov-75,J,Candidate Petition in lieu of Filing Fee,Charter Amendment,Shall candidates for elective offices be permitted to file a petition signed by registered voters in lieu of paying a filing fee?,P,"Yes: 129,105  /  No: 53,153",Yes: 70.83%  /  No: 29.17%,50%+1,Supervisors,November4_1975short
November,4,1975,04-Nov-75,K,Tax Rate Formula; Previous Year's Tax Rate Prevails,Charter Amendment,"If the Mayor and the Board of Supervisors are unable to agree upon a tax rate in any fiscal year, shall the tax rate for the preceding year remain in effect?",F,"Yes: 77,492  /  No: 104,471",Yes: 42.58%  /  No: 57.42%,50%+1,Supervisors,November4_1975short
November,4,1975,04-Nov-75,L,Street Artists,Ordinance,"Shall certified street artists, subject to regulations made by the Board of Supervisors, be permitted to sell only on public sidewalks or public areas designated by the Board of Supervisors?",P,"Yes: 114,359  /  No: 73,762",Yes: 60.79%  /  No: 39.21%,50%+1,Supervisors,November4_1975short
November,4,1975,04-Nov-75,M,Street Artists Initiative,Ordinance,"Shall certified street artists be permitted to sell on public sidewalks, subject to specific requirements, or in other public areas to be designated by the Board of Supervisors?",F,"Yes: 79,804  /  No: 106,678",Yes: 42.79%  /  No: 57.21%,50%+1,Initiative,November4_1975short
November,4,1975,04-Nov-75,N,Limitation Mayor's Power; Public Emergencies,Charter Amendment,Shall the power of the Mayor to take action to meet a public emergency be subject to concurrence by the Board of Supervisors?,P,"Yes: 126,538  /  No: 60,989",Yes: 67.47%  /  No: 32.53%,50%+1,Supervisors,November4_1975short
November,4,1975,04-Nov-75,O,Dismiss Police and Firemen Who Strike,Charter Amendment,Shall police officers or firemen who strike against the City and County be subject to dismissal for such action?,P,"Yes: 136,847  /  No: 55,796",Yes: 71.03%  /  No: 28.97%,50%+1,Supervisors,November4_1975short
November,4,1975,04-Nov-75,P,"Police and Fire Pay, Equal to Wages In Cities Over 350,000",Charter Amendment,"Shall the rates of compensation for police officers and firemen be equal to the average wages paid to their counterparts in California cities of 350,000 population or over?",P,"Yes: 129,413  /  No: 64,059",Yes: 66.88%  /  No: 33.12%,50%+1,Supervisors,November4_1975short
November,4,1975,04-Nov-75,Q,Fire Department  Work Schedules 14 Hour Maximum,Charter Amendment,Shall tours of duty of firemen be limited to a maximum of fourteen hours except in the event of an emergency?,P,"Yes: 120,455  /  No: 71,836",Yes: 62.64%  /  No: 37.36%,50%+1,Supervisors,November4_1975short
November,4,1975,04-Nov-75,R,Police and Fire Departments Binding Arbitration,Ordinance,"Ordinance to make police and firefighter strikes illegal and to provide collective bargaining and binding arbitration on their compensation, not to exceed the highest rate in other major California cities.",F,"Yes: 71,365  /  No: 120,999",Yes: 37.09%  /  No: 62.91%,50%+1,Mayor,November4_1975short
November,4,1975,04-Nov-75,S,Police and Fire Salaries Match 5 California Cities,Policy Declaration,"San Francisco favors paying her police and firefighters as much as their counterparts are paid by Los Angeles, San Diego, San Jose, Oakland, Long Beach or any one of these cities.",F,"Yes: 55,417  /  No: 135,364",Yes: 29.04%  /  No: 70.96%,50%+1,Mayor,November4_1975short
June,8,1976,08-Jun-76,A,Election Responsibilities of Registrar of Voters,Charter Amendment,Provides for the election of members of the Board of Supervisors at large rather than by district,P,"Yes: 142,528  /  No: 27,000",Yes: 84.07%  /  No: 15.93%,50%+1,Supervisors,June8_1976
June,8,1976,08-Jun-76,B,Suspension of Employees,Charter Amendment,Shall the power of an appointing officer to suspend an employee be limited to certain specific offences?,P,"Yes: 122,323  /  No: 46,174",Yes: 72.59%  /  No: 27.41%,50%+1,Supervisors,June8_1976
June,8,1976,08-Jun-76,C,"Leaves, American Red Cross Members",Charter Amendment,"Shall Section 8.362, authorizing leaves of absence for employees serving with the American Red Cross during World War II, be repealed?",P,"Yes: 137,964  /  No: 27,708",Yes: 83.27%  /  No: 16.73%,50%+1,Supervisors,June8_1976
June,8,1976,08-Jun-76,D,Inspection of Examination Papers,Charter Amendment,Shall inspection of examination papers be limited to participants in such examinations and should the fee therefor be established by the Board of Supervisors?,P,"Yes: 116,316  /  No: 47,374",Yes: 71.09%  /  No: 28.91%,50%+1,Supervisors,June8_1976
June,8,1976,08-Jun-76,E,Withdrawn,Withdrawn,Withdrawn,Not Available in Public Library's official records,,,,Withdrawn,June8_1976
June,8,1976,08-Jun-76,F,Appointment of Employee Relations Director by Supervisors,Charter Amendment,Shall the Employee Relations Director be appointed by the Board of Supervisors rather than by the Chief Administrative Officer?,P,"Yes: 130,502  /  No: 33,535",Yes: 79.55%  /  No: 20.45%,50%+1,Supervisors,June8_1976
June,8,1976,08-Jun-76,G,Police and Fire Salaries,Charter Amendment,"Shall the compensation of policemen or firemen employed prior to July 1, 1976, be protected against reduction through June 30, 1979, and shall the compensation of such persons employed after June 30, 1976, be reduced below the present entrance compensation?",P,"Yes: 124,143  /  No: 41,345",Yes: 75.01%  /  No: 24.99%,50%+1,Supervisors,June8_1976
June,8,1976,08-Jun-76,H,Veteran's Preference in Examinations,Charter Amendment,"Shall the conditions under which veterans' credits are granted be changed, shall such credits be granted only in entrance examinations and be abolished for military service commencing after January 26, 1973?",P,"Yes: 107,358  /  No: 53,610",Yes: 66.73%  /  No: 33.27%,50%+1,Supervisors,June8_1976
June,8,1976,08-Jun-76,I,"Child Care, Continue",Policy Declaration,"It shall continue to be the policy of the people of the City and County of San Francisco that low cost, quality child care be made available to all San Francisco children.  Child care shall include infant care, pre-school and after-school programs.  Policy shall be made by the parents and faculties at each center.  Funding shall be procured by the City and County of San Francisco.",F,"Yes: 71,831  /  No: 100,154",Yes: 41.76%  /  No: 58.24%,50%+1,Supervisors,June8_1976
June,8,1976,08-Jun-76,J,Prevailing Rates of Wages,Policy Declaration,"Shall the board of Supervisors submit to the voters of San Francisco at the election to be held on November 2, 1976, a proposition amending Section 8.401 of the Charter by specifically defining ""prevailing rates of wages""?",P,"Yes: 130,325  /  No: 32,671",Yes: 79.98%  /  No: 20.02%,50%+1,Supervisors,June8_1976
June,8,1976,08-Jun-76,K,Withdrawn,Withdrawn,Withdrawn,Not Available in Public Library's official records,,,,Withdrawn,June8_1976
June,8,1976,08-Jun-76,L,Multi-Year Compensation Schedules,Charter Amendment,Shall the Board of Supervisors be empowered to fix schedules of compensation of City and County officers and employees for periods in excess of one year?,P,"Yes: 113,943  /  No: 48,477",Yes: 70.15%  /  No: 29.85%,50%+1,Supervisors,June8_1976
November,2,1976,02-Nov-76,A,"Sewer Revenue Bonds 1976; $240,000,000",Bond Issue,"$240,000,000 Sewer Revenue Bonds for sewage treatment and disposal facilities.",P,"Yes: 159,231  /  No: 65,231",Yes: 70.93%  /  No: 29.07%,50%+1,Supervisors,November2_1976short
November,2,1976,02-Nov-76,B,Disciplinary Action Striking Employees,Charter Amendment,Shall officers and employees who strike against the City and County be subject to dismissal for such action?,P,"Yes: 136,467  /  No: 91,229",Yes: 59.93%  /  No: 40.07%,50%+1,Supervisors,November2_1976short
November,2,1976,02-Nov-76,C,Hearing Officers For Employee Dismissals,Charter Amendment,Shall qualified hearing officers be employed to conduct dismissal hearings involving civil service employees of the City and County?,P,"Yes: 170,405  /  No: 47,313",Yes: 78.26%  /  No: 21.74%,50%+1,Supervisors,November2_1976short
November,2,1976,02-Nov-76,D,Prevailing Rates of Wages; Bay Area Counties,Charter Amendment,Shall the wages of City and County employees be determined by applying a precise mathematical formula to wages paid in private and public employment in the San Francisco Bay Area?,P,"Yes: 139,055  /  No: 80,094",Yes: 63.45%  /  No: 36.55%,50%+1,Supervisors,November2_1976short
November,2,1976,02-Nov-76,E,"Rule of 3, Civil Service Appointments",Charter Amendment,"Shall department heads be permitted, in filling a vacant position in their respective departments, to appoint from the first three persons on a civil service list rather than being required to appoint the first person on said list?",P,"Yes: 119,293  /  No: 100,041",Yes: 54.38%  /  No: 45.62%,50%+1,Supervisors,November2_1976short
November,2,1976,02-Nov-76,F,Examinations For Laborers,Charter Amendment,Shall the requirement that civil service test for laborers be based only on physical qualifications and experience be deleted from the Charter?,P,"Yes: 138,257  /  No: 73,912",Yes: 65.16%  /  No: 34.84%,50%+1,Supervisors,November2_1976short
November,2,1976,02-Nov-76,G,Civil Service Status For Attorneys,Charter Amendment,"Shall attorneys appointed by the City Attorney, District Attorney, Public Defender or Public Administrator, with certain exceptions, be subject to removal only for cause, after three years of continuous service?",F,"Yes: 68,227  /  No: 138,472",Yes: 33.00%  /  No: 67.00%,50%+1,Supervisors,November2_1976short
November,2,1976,02-Nov-76,H,Civil Service Exempt Undersheriff,Charter Amendment,"Shall the Sheriff be empowered to appoint, and at his pleasure, remove an additional undersheriff?",F,"Yes: 94,146  /  No: 118,662",Yes: 44.23%  /  No: 55.77%,50%+1,Supervisors,November2_1976short
November,2,1976,02-Nov-76,I,"Civil Service Exempt, Management Positions",Charter Amendment,"Shall department heads, assistant department heads, supervisors' assistants, and policy and management level positions in the Office of the Mayor be exempted from civil service?",F,"Yes: 98,182  /  No: 112,777",Yes: 46.54%  /  No: 53.46%,50%+1,Supervisors,November2_1976short
November,2,1976,02-Nov-76,J,Services by Private Contractors,Charter Amendment,Shall positions which the Controller and the Board of Supervisors determine to be positions wherein the work can be performed under contract at a lower cost to the City and County be exempted from civil service?,P,"Yes: 130,422  /  No: 79,649",Yes: 62.08%  /  No: 37.92%,50%+1,Supervisors,November2_1976short
November,2,1976,02-Nov-76,K,Art Commission Membership,Charter Amendment,Shall the membership of the Art Commission be increased to twelve members to include a dance professional and a theatre professional?,P,"Yes: 156,987  /  No: 54,204",Yes: 74.33%  /  No: 25.67%,50%+1,Supervisors,November2_1976short
November,2,1976,02-Nov-76,L,Retirement Lower Benefits,Charter Amendment,"Shall new plans of retirement benefits be established for miscellaneous employees and member of the Police or Fire Departments hired after November 1, 1976?",P,"Yes: 116,229  /  No: 93,644",Yes: 55.38%  /  No: 44.17%,50%+1,Supervisors,November2_1976short
November,2,1976,02-Nov-76,M,"Retirement System Amortization, 20 Years",Charter Amendment,"Shall the supervisors be empowered by ordinance to provide that liabilities of the City and County for benefits under the Retirement System not funded as of July 1, 1974, be amortized over a period of twenty (20) years?",F,"Yes: 65,433  /  No: 140,324",Yes: 31.80%  /  No: 68.20%,50%+1,Supervisors,November2_1976short
November,2,1976,02-Nov-76,N,Mayoral Runoff Election Tuesday Not Thursday,Charter Amendment,Shall any runoff election for the office of Mayor be held on the second Tuesday of December rather than on the second Thursday of December?,P,"Yes: 169,210  /  No: 39,422",Yes: 81.09%  /  No: 18.91%,50%+1,Supervisors,November2_1976short
November,2,1976,02-Nov-76,O,Salaries Decided by Voters,Charter Amendment,"In the event that any city employee group fails to reach a wage agreement with the City and County prior to March 15, shall the last wage demand of said group be submitted to the electors?",P,"Yes: 125,143  /  No: 83,769",Yes: 59.90%  /  No: 40.10%,50%+1,Supervisors,November2_1976short
November,2,1976,02-Nov-76,P,Revenue Bonds and Lease Financing Decided by Voters,Charter Amendment,"Shall the issuance of revenue bonds or the approval of lease financing agreements, with certain exceptions, be subject to the approval of a majority of the electors voting thereon?",P,"Yes: 148,727  /  No: 49,047",Yes: 75.20%  /  No: 24.80%,50%+1,Supervisors,November2_1976short
November,2,1976,02-Nov-76,Q,Housing Projects,Policy Declaration,"Shall private sponsors with state public body financial assistance develop, construct, or acquire low-rent housing projects within the city and county of San Francisco to provide not more than 3,000 dwelling units for living accommodations for persons or families who lack the amount of income necessary to enable them, without financial assistance, to live in decent, safe and sanitary dwellings, without overcrowding, including projects which have dwelling unites designed specifically for eligible elderly and handicapped persons?",P,"Yes: 130,533  /  No: 68,866",Yes: 65.46%  /  No: 34.54%,50%+1,Supervisors,November2_1976short
November,2,1976,02-Nov-76,R,Traffic Barriers,Policy Declaration,Shall the Board of Supervisors adopt the policy of supporting projects requested by residential neighborhood areas throughout the City that are intended to impede the flow of traffic by the use of barriers and other physical means of control?,F,"Yes: 75,314  /  No: 124,376",Yes: 37.71%  /  No: 62.29%,50%+1,Supervisors,November2_1976short
November,2,1976,02-Nov-76,S,Yerba Buena - Convention Exhibit Hall Yerba Buena,Policy Declaration,"Shall the City construct a convention exhibit hall at Yerba Buena Center using a 4% hotel room tax to finance lease revenue bonds, underground if financially feasible, otherwise aboveground?",P,"Yes: 119,611  /  No: 85,081",Yes: 58.43%  /  No: 41.57%,50%+1,Supervisors,November2_1976short
November,2,1976,02-Nov-76,T,District Elections of Supervisors,Charter Amendment,"Shall San Francisco be divided into 11 districts with one supervisor to reside in and be elected from each, with decennial adjustments to conform to one person-one vote and to reflect communities of interest?",P,"Yes: 115,192  /  No: 104,524",Yes: 52.42%  /  No: 47.58%,50%+1,Initiative,November2_1976short
August,2,1977,02-Aug-77,A,At Large Election of Supervisors,Charter Amendment,Shall all matters pertaining to voter registration and elections be vested exclusively in the Registrar of Voters?,F,"Yes: 72,014  /  No: 97,242",Yes: 42.54%  /  No: 57.46%,50%+1,Initiative,August2_1977
August,2,1977,02-Aug-77,B,At Large Election of Supervisors from Districts,Charter Amendment,"Provides for election of Supervisors at large with a requirement they live in a district; provides for shortening terms of, and a new election for, Mayor, District Attorney and Sheriff; provides runoff election, where necessary, for Supervisor, District Attorney, City Attorney, Sheriff and Treasurer; provides for shortening of terms and reappointment of Chief Administrative Officer and members of various boards or commissions.",F,"Yes: 62,185  /  No: 112,123",Yes: 35.67%  /  No: 64.33%,50%+1,Initiative,August2_1977
November,8,1977,08-Nov-77,A,"Park Irrigation Bonds, $9,270,000",Bond Issue,"To incur a bonded indebtedness of $9,270,000 for the purpose of improvement of the irrigation system of the Recreation and Park Department of the City and County of San Francisco.",P,"Yes: 106,925  /  No: 53,414",Yes: 66.7%  /  No: 33.3%,66 2/3%,Supervisors,November8_1977
